,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AAPL,0.08152434736092042,0.02145690415396161,0.18486649364238972,0.06418180063468448,0.016673591396511644,0.0116193705764485,0.14632296849106544,0.1018944168763682,0.04489211516713579,0.015277296777933188
MSFT,0.08004774274838322,0.027162538520167763,0.20270715543021411,0.06599723108054525,0.07664735604422253,-0.02508901173759215,0.2233343688327899,0.10320768643102783,0.03661937397305971,-0.01574287293104209
AVGO,0.06836727339586282,-0.050174551645882165,0.19617977750212812,0.08097942023456575,0.07865819554684085,0.04730702815570851,0.1873682942041957,0.05963343484825548,0.049945415111416265,-0.13722339089456254
LLY,0.048818997769832444,0.07545203667631806,0.04263914681558359,0.11515619680697183,-0.10360773291978559,-0.14948370223851615,0.1713254026916362,-0.11642583529532496,-0.05501068035132568,-0.049382596009101665
WMT,0.057499401074135224,0.09562328586945812,0.06245215770762946,0.006930837494704717,-0.056780995517257835,-0.006644743007253068,0.0739185857266686,0.28527161244611743,-0.07739958749506029,0.06625131195131712
JPM,0.10892642609704564,-0.09095733967047828,-0.03987213073438328,-0.09037345951991294,-0.008223209765042094,-0.06297053244794817,0.08688030631772248,0.03288050817215901,-0.025509336335480814,-0.014845280080157015
ORCL,0.06131983119287405,-0.0013604694098495688,0.11494894747197237,0.04271921545828605,-0.012648935032487284,0.01427171917189488,0.18305022599291532,0.08077395681036686,-0.16505115852661156,-0.1429408269303182
JNJ,0.07480215187831175,0.12576767285169504,-0.04617521780505066,0.05102363233512025,-0.14891828555294445,-0.10372257418716194,0.029035684018103025,-0.12313775669024819,-0.02220012141891102,-0.025162825532200728
XOM,0.08620054967560002,-0.092220613916358,-0.14144905587968604,0.2446451413485779,-0.021375721121093427,0.08178465487743078,-0.01528584754189194,0.07162916007928055,0.0130061197083432,0.09959936220415241
COST,0.06834493279032715,0.08702807817174557,0.15683993826743486,0.014300913730744373,0.025193781893964262,-0.0315964955164007,0.11673446670335945,0.2512972129019228,-0.04054241087294613,0.0219420822941016
ABBV,0.06578572563483284,0.05667211282339228,-0.016200828185681148,0.11698014250882756,-0.1299657272948339,-0.1842559334548436,0.05412086706383312,-0.1546061712638621,0.1289559327884346,-0.03972385488228572
BAC,0.1098898667973504,-0.10045997239714946,-0.04582525793075553,-0.11714258024318353,-0.0656466542237579,-0.019069946103160547,0.08710821960256095,0.03810304377484952,-0.0008555731150344664,0.03139319388802658
HD,0.09495196460870277,0.03608936536106028,0.1425526151204538,-0.024543684673025392,0.05902535730669978,0.03695482443049597,-0.07839412985643551,0.021603490413346582,0.18184739512130887,4.423607588552314e-05
PG,0.07672353313041431,0.16611716383785632,-0.004664141974893542,0.006682375233132974,-0.08439139359419467,-0.05470223612880443,-0.028848974263373267,0.1851266157942904,0.024675620427001957,-0.01145964692273247
GE,0.0860296032985339,-0.0732589572395834,0.001587895827882723,0.027002009667824997,0.05595194866647725,-0.012543484920134018,0.012347427462070182,-0.026057365453251935,-0.18127842417598167,-0.15902920457766082
KO,0.09014092204622985,0.11200793158531014,-0.07448378227979217,0.010673397209999453,0.021370600125895284,-0.032707705966701195,-0.08231311772912539,0.09315378792783302,0.043597452316634755,-0.09689181140831532
CVX,0.09337226189099981,-0.08341956939515856,-0.10846646341502918,0.23151757008092833,0.020263793717276535,0.04070601553817873,-0.014546519019081309,0.026958267064715137,0.061426021646397766,0.1020654180214404
CSCO,0.08964080681865695,0.014872330102380288,0.09037891938673284,0.057065037686347055,-0.06422570069003355,-0.007664388786031034,0.11562708715688984,0.0793623531627641,-0.043954131609373406,-0.12328073273697532
UNH,0.06618333594163867,0.052535319305417987,0.0008447562019100018,0.06753395416324806,0.036418537920628644,-0.13004654062462057,0.03000852446479083,-0.10194778193617247,0.039143742696261155,-0.04292570935930862
IBM,0.08868391245921668,0.006498414024206853,-0.007980047666168666,0.03423993186059183,-0.0466936695815748,-0.00590944585342452,0.04199922841218169,0.04068891076383307,-0.0799873648787296,-0.18274154287044309
WFC,0.10222042606080027,-0.0972051960669296,-0.0570484052924396,-0.13672690594867115,-0.04513746997822764,-0.029203403809136667,0.09100887723703602,0.03544749368369611,-0.01167891620869705,0.021946186434040282
MS,0.10860834128743588,-0.08491031883027703,0.024266078529320754,-0.06284321524511707,-0.021603512999267598,-0.0038735112551502057,0.09161803077285903,0.02622940052800514,-0.03566179128518081,0.0034441058865671004
CAT,0.09298755576318457,-0.09012223582920527,0.02583805808409753,0.057896624019824025,-0.09481793082351168,0.09853668570766884,-0.05947949080182449,-0.056526713301760644,-0.18379261276691064,-0.0683360021542222
MRK,0.06211959885311679,0.08884389941090493,-0.02126980473929224,0.10606680219286407,-0.14560932422116016,-0.1918588450453868,0.03056857077332512,-0.20190438908996583,0.0886457661892934,0.04289574123133421
GS,0.1057831760206528,-0.093534248264647,0.02655835272325226,-0.07391691380749708,-0.02194896455815717,-0.014451001129262002,0.08391173542037476,0.034097986755216456,-0.015364429619978491,-0.016674069364129757
PM,0.07677306530345124,0.058994067203484525,-0.07075081778683644,0.025549237280255405,-0.02598612550921695,-0.06759992496061111,-0.022802132310257718,0.10176671167087845,0.1371609861720304,-0.20181241368032315
RTX,0.09367974201673882,-0.03901937660753964,-0.07631834221027457,0.05683730549103169,0.13175217435828662,-0.03981688800799486,-0.03624598152934224,-0.04331277194119545,-0.06126733031361582,-0.1866588568366676
ABT,0.07776477982327863,0.10840291004350538,0.06311647700547394,0.011939755715651427,-0.04161502451110601,-0.09549794081990108,0.09536266072004661,-0.10355514953857504,0.02768535531942017,0.049578395540648294
MCD,0.0877642547782292,0.06130568700228533,-0.0009275047491412124,0.020587495855784833,0.1519429712649534,-0.08808603121927774,-0.07530897425692512,0.04217549572781784,0.19086151792172523,-0.05749993355510635
PEP,0.08473741155605441,0.1545146353165868,-0.007991121047560217,0.02948070330637412,-0.05115913472841726,-0.03326152752514074,-0.029309955282869577,0.14533520770922373,0.09043582699524108,-0.018749215665471764
INTC,0.06643627716822915,-0.015772112868389008,0.1328170532819883,0.056709077239805214,-0.03359829434553412,0.06079433398763226,0.2011253945547275,0.04786837150219697,-0.0033265321273192807,-0.06521887428484217
LIN,0.10058199008581893,0.021292901364918543,0.07085007538076774,0.02919036519863089,0.06212303692831371,-0.04269033972280435,-0.014628618874565654,-0.0368282696557605,-0.06066554568202946,0.023580975040200597
C,0.10696763185246662,-0.11066108519936799,-0.027199371148970152,-0.06493720207255897,-0.021657649185928225,-0.026316937239700775,0.07416739237166332,0.03777374275989771,0.05906165366142644,-0.03207657285859494
AMGN,0.06817423955208203,0.0866754498935766,0.02774498459611899,0.07985683922892753,-0.19511411370764004,-0.10280815226841385,0.10035876462326696,-0.149638230506781,0.017903526758108905,-0.014117862928908508
T,0.07758775983003979,0.050231483009547134,-0.10703455957132359,-0.03998681350668208,-0.0905428480774913,-0.004295312500248692,0.018659964331085348,0.05501816366016605,0.014467944000483585,-0.19732540364820456
QCOM,0.07125961728749897,-0.039783665543043314,0.20107802376973488,0.05380687210832847,-0.005988400358731867,0.05762263911994521,0.15982386417687136,0.08599756897532539,0.0846339407930601,-0.03393612940859245
NEE,0.0748154029564104,0.13054272361186744,-0.032068402902409414,-0.019277244357039945,0.09236807631914558,0.1767664818613736,0.08048666400428786,-0.062491206718666134,0.10535482509369636,0.05894283894695711
VZ,0.06589139650466591,0.09368421930014978,-0.0869525965085099,-0.01459245015471017,-0.12473784472673967,0.0111697134995966,-0.007712295669129658,0.04161282170716172,0.04241480723068033,-0.12802477305059587
SCHW,0.08785916359238898,-0.08406770952057387,-0.014273781409559158,-0.10593700380611623,-0.06105704263770769,-0.031894813059131104,0.07245610563297201,0.07183037234811003,-0.10291496758114305,-0.0005332113945457423
BLK,0.10767046883750214,-0.01367654709849805,0.1060117274804004,-0.046028242749557934,0.004892593645437853,0.043732846472950726,0.057022532559600915,0.003539813044434486,0.039542400377580625,-0.006113521072742302
GILD,0.05513177595032377,0.07460105501751046,0.004902775491420701,0.029359392554182986,-0.21479064801716832,-0.1129734330133679,0.06945605945749328,-0.07696224833388435,-0.03174349420410368,-0.0022448318303907996
TXN,0.0865687685857662,-0.019305437321652377,0.18033828553546452,0.0523003033006758,-0.04553360566608108,0.0670808375592888,0.14781332654564,0.0349787309678609,0.03658008750514492,-0.01596715567525961
SPGI,0.09407190062212287,0.036515763029196166,0.11254774379157391,0.019567707016736748,0.14340621662330952,-0.053628519988735475,0.03638226928571172,-0.012507023354971234,0.1106385172807689,0.05288220466254938
PFE,0.06331536412244494,0.07443833023728026,-0.010044164872954339,0.0718450468265733,-0.20002416908557333,-0.09154603021421062,0.0700226693904572,-0.22760160244839736,0.030644077366984945,-0.050880740648882365
UNP,0.0992458967112202,-0.025929687596173624,0.03396565251533352,0.020431735761862316,0.026999706309707442,0.02310024338007465,-0.08431779846348658,-0.03228584934151186,0.03691557436580275,-0.018990494108288847
LOW,0.09007146503304883,0.0146800848235533,0.1363945311460405,-0.007732312745694847,0.0651210083506061,0.046711160793378885,-0.12865395615441177,-0.015701198202160403,0.22518241063866118,-0.032879481482502415
MDT,0.0926217241421491,0.02537687665451477,-0.02578812769793798,0.02207009780939933,0.04406079895073878,-0.07237912343739605,-0.0025140446442750678,-0.13008090418255344,0.16671288236096204,-0.023981182318246072
HON,0.10838992763876323,-0.023303926437764248,0.018422542754003256,0.026893929650681502,0.05991965376558226,-0.012054168838958036,-0.07750747615091545,-0.04844694340466873,-0.0716849522459913,-0.13852915549658076
DE,0.09074194466871016,-0.05208276106941871,0.01906315590281096,0.046136464427211324,-0.0037736089284306318,0.061137561503401654,-0.10667186869608267,-0.03886520535066311,-0.07858146098413916,-0.08920406197936138
CB,0.09644705780765496,0.007669569195027857,-0.108544641778194,-0.035782472195781304,0.12601457564866742,-0.17027387941690605,-0.028650807490766282,0.025884011695387767,-0.04715938792071569,0.0484954860243409
COP,0.08383335381854619,-0.10918855824905666,-0.11364806800472267,0.2712634521840643,0.003394732061863782,0.04742555805717765,0.007163432018319548,0.05257768888481162,0.041340455939953426,0.13473436770526237
LMT,0.07196761866019212,0.06130482576793068,-0.09839026830247863,0.0859221015255686,0.051153578811292365,0.0026074008981198447,0.016717589180625866,0.019674464701069542,-0.19102949205149997,-0.1911688727318223
ADP,0.10218743489528295,0.046359525801471665,0.04524533298283214,0.017587342782007822,0.09616588149244566,-0.06897341601468503,0.04076119195225492,0.02469698593172188,0.00518051698359584,-0.038985756818530004
SO,0.08563643607767718,0.15475734555643125,-0.1327692456063184,-0.03755813388964033,0.06436974380194108,0.16094272860142148,0.09041759106408469,-0.06276114661336762,0.010400461654711078,0.010274832707359773
BMY,0.06224054031017533,0.07020155583995631,-0.027660335777962113,0.08730115242290425,-0.17776225712415505,-0.15180922426908341,-0.007679555901675892,-0.2346945396884322,0.09083276993920095,0.017810900415139518
NEM,0.033224182453675206,0.05488349414511831,0.003604073290169948,0.09034515965156058,0.04272232237688923,0.21468075332062853,0.024196869375431005,-0.10091718735577429,0.01085587667284975,0.14213722233474294
MO,0.07201994655568661,0.05043710214692136,-0.09585170774329278,0.043001656066915854,-0.07135649054333952,-0.02395977124068145,-0.0947584906277524,0.09821441344015581,0.01544994591934057,-0.1874352154158356
CMCSA,0.08427117419480666,0.014190960439393087,0.03472355250159546,-0.012355664163777045,-0.06475360258052108,-0.029709822610677984,0.04643326945897976,0.05720633003129473,0.10851176073801105,-0.12395032918430088
DUK,0.08573440429551844,0.15761965147788895,-0.1373202241854982,-0.046876990090275905,0.08579123510860359,0.1396835982232377,0.05798424251467616,-0.05454222233284282,0.03189288194990731,-0.027021267654538626
NKE,0.07883741794898114,-0.00415527602210588,0.11974999420131766,0.005889108661144229,0.008409207415365801,0.04906119610637565,-0.05817553366430858,-0.00239072380109268,0.116972882753724,0.007071286520926352
GD,0.09980456835309852,-0.0006496448454001651,-0.06880728598179688,0.04972924609455976,0.06859812460311124,-0.030240023691600063,-0.03419602933570467,0.0005419690234109347,-0.1813934027771372,-0.1349003997162729
MMM,0.08763554603715724,-0.010899185456628336,0.059133016689006695,-0.024596639663985734,-0.08395875738656743,0.04576873466093404,-0.13988131398902168,-0.05341632426526521,-0.14146327878051793,-0.08600224858715386
MMC,0.0967143701966375,0.06880844157313969,0.03765355038100184,0.020567407385042927,0.20255491641029227,-0.16925236260725035,-0.0017844693677255207,-0.014957354508571706,-0.06821046043630638,0.18834722582971286
SHW,0.08629360687698803,0.04904934213009655,0.13434467655541574,-0.0423542185294713,0.07660949795767961,0.015157015568344404,-0.13530510962943837,-0.06071133695788834,0.13191344347049683,-0.01056376169509054
UPS,0.07547435969321743,0.006660978850305003,0.10969241305547989,-0.010234441544995403,-0.12466144146323185,0.06883861659273643,-0.029398461311133828,0.023380417971958032,-0.0008690007389005379,0.10564364458503826
ECL,0.09954348735162755,0.038540176582747845,0.06485201757915518,-0.02542554334660115,0.09074349489194566,-0.0024246590968805153,-0.06761829577083228,-0.04422523221569531,0.009230227081241707,0.0016058172119172293
USB,0.10609107406075759,-0.0971649670925692,-0.06367707535668615,-0.1524533942806075,-0.09307858669109723,-0.025523200503815496,0.04773802423933286,0.00647849573829536,0.05098980120267061,0.025321480674567718
AON,0.08137457634745582,0.04950410398395923,0.025624500698998305,0.009423878182518644,0.18803286087227578,-0.15205752996582617,0.006625926751772634,-0.022003135086960564,-0.12674518951756697,0.24430357651140483
EMR,0.10424223613407745,-0.08601013252439035,0.04557154798466211,0.06425528882291676,0.017548782864868533,0.03277081169767132,-0.07038387984166732,-0.05682421380759358,-0.06040056926643355,-0.04673291375023479
CTAS,0.09933610801355372,0.016169314577389095,0.051968571635079806,0.020545105078104094,0.17061053565486947,-0.03986434388991567,-0.0029186313615493747,0.01423694988853802,0.05621597299446483,-0.044532393362517256
PNC,0.11126599724404426,-0.09393123031154627,-0.045788384068731904,-0.1405064247804196,-0.04310201929713466,-0.016609123782303743,0.04047482766176735,0.009616223691109945,0.06970029335972534,0.053885065620394496
ITW,0.11131530978231403,-0.0029695562899725333,0.07630599483698149,-0.0033937296828009363,-0.024510594495558247,0.04378551520411025,-0.1587722462119354,-0.03943305804020579,-0.10912166568686646,-0.057543258689516
AEP,0.0746748298670038,0.1662703914672787,-0.12018181907878608,-0.06218755825115166,0.05099121980090656,0.18136367635030945,0.0991639321435263,-0.046557669320657295,0.0004310910158450598,-0.011415650857837623
TRV,0.09431581721020861,0.0017800506279581094,-0.09834347144926898,-0.04165756607455642,0.11682544747145854,-0.15999942873042725,-0.021352221425378133,0.04648249832720055,-0.01434634284344162,0.037968915711257545
CL,0.07270935697182403,0.16842889385681423,-0.03040143898918475,0.00046732641161013666,-0.052973581048349885,-0.07531502274925246,-0.07505953712765488,0.16377583414225044,0.0674746839431085,-0.023083634536973638
AJG,0.09258047477279809,0.06281167311730089,0.006263733880796607,0.016723645916739787,0.22406744972747553,-0.18902819630499987,-0.0020811339382687953,0.006444956407780736,-0.09794410326692232,0.20552586810736811
SRE,0.08941111949567926,0.062474440865027146,-0.10855221096111677,-0.013812421835277111,0.09249061617469843,0.15744449283994386,0.10041512403901334,-0.07593372906946189,0.05961218649550742,-0.013202875043450019
FCX,0.08370691500847109,-0.08993700795072028,0.06129210775221678,0.11975352783476338,0.01114889600355935,0.1065604131138768,-0.03802400329046767,-0.08033746707094575,-0.0316750097402912,0.06386945031263204
TFC,0.10652176983808255,-0.10568398725260403,-0.05545039458489562,-0.15376117082465202,-0.053965571006820395,-0.004719187101428601,0.04158341907996157,-0.0016950840245204886,0.08345750092848894,0.06362352078830616
AFL,0.10199490267961935,-0.035400432913907626,-0.0936269249670898,-0.008770626814112297,0.13159278453997011,-0.09895161806890491,-0.05556601832402545,-0.003961550435453401,-0.006429528396031071,-0.0531425079227639
MPC,0.08679173126806386,-0.1047106784678491,-0.10954259900905117,0.18401131464413842,0.02703798401602933,0.047090314198539464,0.004032989374034635,0.042110889860301766,0.07476230123238017,0.003713767061909853
EOG,0.07421382482032529,-0.12003552720638916,-0.11160906332765579,0.26232729035139324,-0.021419507987167297,0.06086542887170985,0.010158182086524041,0.09806979311349617,-0.005175492203748376,0.14069986073229993
APD,0.09012765657489175,0.03868284176512556,0.04926169192021054,0.03674336801468088,-0.009749774074435873,0.04259235024569109,-0.03813926173735133,-0.045750532729884774,-0.07809315981139499,0.07493032740404898
ALL,0.09198679386761958,0.018271268787834017,-0.08025609982508594,-0.03752436940542147,0.07353909464513067,-0.13395866692520245,-0.036872889460453716,0.05491236426380779,-0.07768360373474632,0.050503117073794214
BDX,0.06526912329419161,0.08768891225779077,0.02112947328636516,0.044630349911377626,-0.12304414624282517,-0.066643377770328,0.02759562679890565,-0.19887913504318108,-0.0037564028270677496,0.13806292486421995
PSX,0.08586485518033113,-0.11529893867136892,-0.11803643638997023,0.2021397985666294,-0.03125350332781302,0.05203989126822281,0.0006493940028939795,0.0628985704762174,0.05909909353668019,0.011203717118637654
VLO,0.0815748280556966,-0.11457192308805503,-0.12369475326585964,0.19488441403891416,-0.009204545429101594,0.04456796870179442,0.00661408510963453,0.05078710363560153,0.0672266384064047,-0.013488840668407883
SLB,0.08296885527787226,-0.13277183777092372,-0.09409352426782769,0.2156953688769196,-0.036197029025411165,0.04921226834248603,-0.03748493781571676,0.044330281838942116,0.010580439418061374,0.08030337405079445
D,0.08097033038524723,0.14969831427428773,-0.10643048179565172,-0.060291358184254046,6.4240583219039535e-06,0.16352105682122337,0.07145974647473885,-0.0626836885125837,-0.00295770011244174,0.04939188804353141
MET,0.11365517306369341,-0.07457061473985001,-0.0602149044950063,-0.06622510073299226,-0.011640688908059535,-0.04015490729848375,0.02596728831154925,-0.0014173178012711878,-0.0920233449558006,-0.0023648973278557993
CAH,0.07288777130617889,0.024949186980079682,-0.04961353666788155,0.053311181552187926,-0.0535003776433876,-0.13123600461869772,0.03580382762431529,-0.01913626969770529,-0.18852579378624482,-0.06252193709387832
XEL,0.07799524263850106,0.16863847163129264,-0.08954952329143659,-0.05214794857412932,0.07368601932213308,0.15209558436604817,0.10288188365845874,-0.04728129198936547,0.02268020141094387,-0.017828311738052542
ROP,0.09617665608819094,0.048517307039290185,0.09870127999503711,0.03120520256084166,0.07510662424835009,-0.052409532444393725,-0.014553637409389399,0.02905973811993509,-0.03497603113398313,-0.0023235973237629047
EXC,0.09109637828324883,0.11840523166119156,-0.09542493247924602,-0.017999672272406574,0.12082534753561422,0.1285020877834513,0.0651730493655138,-0.058868765816081914,0.06292584609882822,-0.00340960571853421
FAST,0.08864509660907523,0.03349984688025071,0.13146172591821406,-0.00812485287938203,-0.017041793459203602,0.020991294341075866,-0.05328286953074709,-0.005239897513049011,-0.18683123182002845,-0.015502612411865766
AIG,0.10256714459566288,-0.07688745084976088,-0.0811066821087896,-0.03160849834812096,0.10792783984073301,-0.09785292368487848,-0.034989863926767895,0.017573147780047357,0.01057019958771242,-0.027749410869892573
OXY,0.07240761113453884,-0.1160772485471829,-0.10897857544679525,0.23308817943517554,-0.022750703091387964,0.06335018129330094,0.03715346986306901,0.073020341769577,0.015298527999214072,0.1154600088736208
TGT,0.06353845282091408,0.021195066930618824,0.11499269179219193,-0.020136669361669815,-0.12216391929308096,0.06341058228648296,-0.05226857255793419,0.12194986608364568,0.06784690451585662,0.16029728744650332
PRU,0.11517115686611214,-0.08268390109760693,-0.06231808497050484,-0.06349532454317769,-0.009346337260085661,-0.023716950936727092,0.017643272402089252,0.0023890657358243564,-0.06715931517526565,-0.002116869400620366
NUE,0.0874381174866534,-0.07771541430298747,0.04236690176008505,0.04505139784907845,-0.03168395882537306,0.035430827250111215,-0.07115106410659569,-0.0330144630325677,-0.13195765315324445,0.02170882868508414
SYY,0.09032624229845507,-0.031388840242770465,-0.06511116147061595,0.008096735509877712,0.10364324822810163,-0.04722069077474017,-0.09371056643691945,0.07039008032332,0.21699559473319788,-0.2104375574939112
WEC,0.07311549872697443,0.18541700557475815,-0.10393445515972388,-0.07059257783690683,0.028664185264025883,0.19647152859478625,0.07687318140635867,-0.04614528011785984,-0.06494907087728657,0.006198105222125206
ED,0.06932097647057904,0.1822890231371535,-0.14023062332916011,-0.07620115710168328,0.02930096643135074,0.1583226037259723,0.06558562272536611,-0.03553061037139643,-0.08182189214445347,0.017348078307703307
KMB,0.060490551202819064,0.16222207609410372,-0.01946151396659916,-0.0033644779633943706,-0.09623395686572055,-0.05534786743003064,-0.13039766636337147,0.17424707580299337,0.009790102197285768,0.021199183254777005
MTB,0.09978987067888889,-0.10558694701408275,-0.08838028906794305,-0.16385063971359487,-0.07687144734153491,0.0018504832117444826,0.033228179484151334,-0.0023766298832637793,-0.023117116833773647,0.035950682746168985
FITB,0.10866860201631302,-0.11801050759848274,-0.053733732467926176,-0.13769211765601885,-0.01654305398391639,-0.020476289728389593,0.012911943967836233,-0.008920927707278132,0.12480171957471434,0.0484591897584487
ATO,0.08559433101427667,0.13914837475437883,-0.11726348873636118,-0.04458154773289816,0.03666934209627293,0.15759651560488358,0.06714114952693104,-0.026153952885950616,-0.09407865678830274,0.014195593567896939
BRO,0.09187063297875868,0.06896458803962696,0.029111693138282033,-0.01625340431607036,0.17226613022732898,-0.16336798844034725,0.02351107916087466,0.01538144511336512,-0.14497801685078526,0.19367606226784506
CINF,0.09714096929116998,0.004060619382287399,-0.07098394394727357,-0.07533688208327881,0.032022612634200906,-0.0990721592705193,0.022221239546605674,0.007134211366779879,-0.12019031210711742,0.051739364954493626
HBAN,0.10220319499757127,-0.12988252470757733,-0.06343839963658114,-0.15586988159938558,-0.07324326156734211,-0.020771805361936516,0.028546966619258075,-0.0012264564346847865,0.010834664441753364,0.034178158219240654
DOV,0.1098680937448963,-0.037600420386455224,0.07875481400974144,-0.011606443517159984,0.04176506105815126,0.06097817658684767,-0.09847255522968358,-0.07813354706600678,-0.04912204938390683,-0.06022406781701916
CFG,0.10462071800325438,-0.13177319941337504,-0.04941772218488222,-0.14025162474251116,-0.041922924492994895,-0.027372500557127446,0.01939860871394661,-0.004241426950574699,0.10945205959207842,0.04658904221217571
RF,0.10584782683580159,-0.12572483624989186,-0.053142835189669335,-0.13237765790192074,-0.029773341129055175,-0.007816238327092821,0.013725877271640105,-0.0048096800011792305,0.08167133203676932,0.06900192592380389
PPG,0.09938625607166028,-0.02826274795767304,0.09478908130135776,-0.039500380834584625,0.03407122550448541,0.004517548036532198,-0.18109753351848762,-0.10428486872251462,0.06447415626600422,0.007323328368502478
TROW,0.10290322589381819,-0.01957850105047234,0.11631834306069525,-0.05364156233908151,-0.07167226478532834,0.07004676258753384,0.07403340108176942,0.04842864277259483,-0.043571334827423244,0.022434258679917086
KEY,0.10231684053284329,-0.12943237604284194,-0.05043926475428246,-0.15136273248119816,-0.04546838971607728,-0.02130300313037868,0.02635265475097226,0.014091149573130091,0.1065000209486673,0.06192864901702576
WST,0.04915024145996489,0.05253272356977845,0.13460979794476075,0.022799569091420866,-0.009437481530799301,-3.5154274352636484e-05,0.0888619673381156,-0.16021324242412407,0.03735974495647681,0.16842591734557982
EXPD,0.08213563698284794,0.011104821801694802,0.13674057440252196,0.012231773822966016,-0.03722598616913736,0.09372202793189026,-0.10946324089589807,-0.008193193758692246,-0.05634938416880668,0.05634999904932324
AMCR,0.09075215478128743,0.008488536938682411,0.018238267173366247,-0.0006836076902349104,-0.0025664242164329695,0.0425458933183743,-0.12559353277406005,-0.06160794839339548,0.11998372225368335,-0.04718772788695035
GPC,0.09472793356507879,-0.000999019104796249,0.021527023564967628,-0.01963876785497815,0.03578154398703693,0.035073598877758363,-0.19667800783080194,-0.05963003021928458,-0.06676141579550444,-0.025821989327752023
MKC,0.06512293645852936,0.14212737842026987,-0.008055238000226913,0.007806884506071521,-0.09045372602882411,8.170993604712711e-05,-0.09412723528909764,0.10211170573170587,0.018502106692001037,0.13603026012748926
PNR,0.10026737604664748,-0.03307745036327177,0.11897501286097463,-0.04601176226514541,0.04994359460951299,0.04865378707733658,-0.13969301441806592,-0.09471337059944787,-0.037807691123841206,-0.015172246261425014
DD,0.0967081265423593,-0.05813391585625655,0.05277046466594229,0.023149376371870457,-0.034926034027913444,0.04946614963664031,-0.08017469896202335,-0.08034090989890648,-0.0531643645287545,0.027192693085491534
ALB,0.06983423491713459,-0.0550361628810502,0.08465338709077105,0.017318507416801028,-0.0616583112420523,0.18364424548269798,0.008050865498710674,-0.10224011420722084,-0.09688402064970529,0.09646096088765399
BF-B,0.0754349717400957,0.0800601021344272,0.012204467280856515,0.0032405787571258777,-0.08561014936237456,0.07797617052574667,-0.12699157126938249,0.07543748239275669,0.08837211773946109,0.044320716218234545
CLX,0.0348243803258134,0.14613855655467023,0.043024195551652156,-0.029709116830305613,-0.15096643051538608,-0.02733387323569406,-0.1571328438996686,0.216799729206055,-0.0019114804559078758,0.10955266071325458
HRL,0.048018992320997024,0.1283205623036465,-0.04159764499181727,-0.008860329940107088,-0.17119511022075687,0.018435491923092816,-0.14724746169203928,0.1516281331416598,-0.014948655637411108,0.14025762067997566
BEN,0.09652210630288177,-0.04513521318903034,0.04163042353296142,-0.08053588268032319,-0.10366854154330886,0.09505525862646844,-0.007340987862576389,0.02316288363703058,-0.07658755151072959,0.013583701892574096
SJM,0.04737030445591499,0.12663369047355208,-0.060133544328500634,0.00630822902120821,-0.16593455428736545,-0.00846371716979828,-0.17154568360457992,0.11560993900656702,-0.12604414033278052,0.08190296546387978
SWK,0.09841552991041866,-0.04093202295774199,0.10795524327707699,-0.024506359076656496,-0.010650056816656676,0.06964203899123586,-0.1840687830037179,-0.102375314092851,0.07328845561758753,-0.046862362694695535
AOS,0.08171148151150642,-0.012561959535109885,0.11112901862442782,-0.04433994510161874,-0.05180305264168337,0.061061540421596165,-0.18045537929575486,-0.06650201549756335,-0.11094048085446002,-0.05169854156956211
ZION,0.0895944778556309,-0.12926903368029474,-0.06176620789335441,-0.18550770041058373,-0.11113197384766056,0.005635165152928742,0.06234956374251934,-0.004777716557580913,0.012958376438909283,0.10157339680854018
